99bill                 |send.htm                   |快钱接口模板                 |前台显示
help                   |list_manage.htm            |列表管理模板                 |后台显示
help                   |show.htm                   |显示帮助模板                 |前台显示



realcompany            |config_manage.htm          |认证配置模板                 |后台显示
realcompany            |edit_manage.htm            |认证编辑模板                 |后台显示
realcompany            |list_manage.htm            |认证列表模板                 |后台显示
realcompany            |realcompany.htm            |实名认证申请模板             |会员中心
realcompany            |show_manage.htm            |认证显示模板                 |后台显示


realpersonal           |config_manage.htm          |认证配置模板                 |后台显示
realpersonal           |edit_manage.htm            |认证编辑模板                 |后台显示
realpersonal           |list_manage.htm            |认证列表模板                 |后台显示
realpersonal           |realpersonal.htm           |实名认证申请模板             |会员中心
realpersonal           |show_manage.htm            |认证显示模板                 |后台显示




space                  |about.htm                  |空间关于我们模板             |会员中心
space                  |column.htm                 |空间侧栏菜单模板             |会员中心
space                  |default.htm                |空间首页模板                 |会员中心
space                  |header.htm                 |空间头部模板                 |会员中心
space                  |space.js.htm               |空间JS模板                   |会员中心
space                  |style.htm                  |风格样式模板                 |会员中心




taskone                |add.htm                    |添加任务模板                 |前台显示
taskone                |addallow_manage.htm        |任务权限模板                 |后台显示
taskone                |adddraft.htm               |添加稿件模板                 |前台显示
taskone                |addmessage.htm             |添加留言模板                 |前台显示
taskone                |addselect_manage.htm       |添加筛选模板                 |后台显示
taskone                |allow_manage.htm           |权限管理模板                 |后台显示
taskone                |buyer_member.htm           |买家订单管理模板             |会员中心
taskone                |buyer_order_info_manage.htm|买家订单信息模板             |后台显示
taskone                |buyer_order_manage.htm     |买家订单管理模板             |后台显示
taskone                |category.htm               |列表右上分类模板             |前台显示
taskone                |comment.htm                |点评模板                     |前台显示
taskone                |comment_manage.htm         |点评管理模板                 |后台显示
taskone                |config_manage.htm          |配置模板                     |后台显示
taskone                |copyright_manage.htm       |应用版权模板                 |后台显示
taskone                |credit.htm                 |评价模板                     |会员中心
taskone                |draft.htm                  |稿件显示模板                 |前台显示
taskone                |draft_manage.htm           |稿件管理模板                 |后台显示
taskone                |draft_member.htm           |稿件管理模板                 |会员中心
taskone                |draft_space.htm            |稿件空间显示模板             |会员空间
taskone                |edittask_manage.htm        |编辑任务模板                 |后台显示
taskone                |edittask_member.htm        |编辑任务模板                 |会员空间
taskone                |feed.htm                   |任务列表动态右栏模板         |前台显示
taskone                |file.htm                   |文件显示列表                 |前台显示
taskone                |increase_member.htm        |任务加价                     |会员中心
taskone                |list.htm                   |任务列表                     |前台显示
taskone                |message.htm                |任务留言列表                 |前台显示
taskone                |message_manage.htm         |任务留言管理列表             |后台显示
taskone                |message_manage.htm         |任务留言管理列表             |后台显示
taskone                |project.htm                |任务发布项目列表             |前台显示
taskone                |refund_member.htm          |退款模板                     |会员中心
taskone                |repotr.htm                 |举报模板                     |前台显示
taskone                |select_manage.htm          |筛选管理模板                 |前台显示
taskone                |seller_member.htm          |卖家订单管理模板             |会员中心
taskone                |seller_order_info_manage.htm|卖家订单信息管理模板        |后台显示
taskone                |seller_order_manage.htm    |卖家订单管理模板             |后台显示
taskone                |sellorder_member.htm       |卖家订单管理模板             |会员中心
taskone                |settask_member.htm         |任务设置管理模板             |会员中心
taskone                |show.htm                   |任务显示页面模板             |前台显示
taskone                |show.js.htm                |任务显示页面JS模板           |前台显示
taskone                |task.js.htm                |任务发布JS模板               |前台显示
taskone                |task_config_member.htm     |任务配置管理模板             |会员中心
taskone                |task_manage.htm            |任务管理模板                 |后台显示
taskone                |task_member.htm            |任务管理模板                 |会员中心
taskone                |task_related.htm           |相关任务列表模板             |前台显示
taskone                |task_space.htm             |空间任务列表模板             |会员空间
taskone                |taskone_form.htm           |发布任务表单模板             |前台显示
taskone                |taskrefund_manage.htm      |任务退款申请管理模板         |后台显示
taskone                |taskreport_manage.htm      |任务举报管理模板             |后台显示
taskone                |transaction_space.htm      |空间任务交易记录模板         |会员空间
taskone                |user.htm                   |任务列表用户信息模板         |前台显示



taskcount              |add.htm                    |添加任务模板                 |前台显示
taskcount              |addallow_manage.htm        |任务权限模板                 |后台显示
taskcount              |adddraft.htm               |添加稿件模板                 |前台显示
taskcount              |addmessage.htm             |添加留言模板                 |前台显示
taskcount              |addselect_manage.htm       |添加筛选模板                 |后台显示
taskcount              |allow_manage.htm           |权限管理模板                 |后台显示
taskcount              |buyer_member.htm           |买家订单管理模板             |会员中心
taskcount              |buyer_order_info_manage.htm|买家订单信息模板             |后台显示
taskcount              |buyer_order_manage.htm     |买家订单管理模板             |后台显示
taskcount              |category.htm               |列表右上分类模板             |前台显示
taskcount              |comment.htm                |点评模板                     |前台显示
taskcount              |comment_manage.htm         |点评管理模板                 |后台显示
taskcount              |config_manage.htm          |配置模板                     |后台显示
taskcount              |copyright_manage.htm       |应用版权模板                 |后台显示
taskcount              |credit.htm                 |评价模板                     |会员中心
taskcount              |draft.htm                  |稿件显示模板                 |前台显示
taskcount              |draft_manage.htm           |稿件管理模板                 |后台显示
taskcount              |draft_member.htm           |稿件管理模板                 |会员中心
taskcount              |draft_space.htm            |稿件空间显示模板             |会员空间
taskcount              |edittask_manage.htm        |编辑任务模板                 |后台显示
taskcount              |edittask_member.htm        |编辑任务模板                 |会员空间
taskcount              |feed.htm                   |任务列表动态右栏模板         |前台显示
taskcount              |file.htm                   |文件显示列表                 |前台显示
taskcount              |increase_member.htm        |任务加价                     |会员中心
taskcount              |list.htm                   |任务列表                     |前台显示
taskcount              |message.htm                |任务留言列表                 |前台显示
taskcount              |message_manage.htm         |任务留言管理列表             |后台显示
taskcount              |message_manage.htm         |任务留言管理列表             |后台显示
taskcount              |project.htm                |任务发布项目列表             |前台显示
taskcount              |refund_member.htm          |退款模板                     |会员中心
taskcount              |repotr.htm                 |举报模板                     |前台显示
taskcount              |select_manage.htm          |筛选管理模板                 |前台显示
taskcount              |seller_member.htm          |卖家订单管理模板             |会员中心
taskcount              |seller_order_info_manage.htm|卖家订单信息管理模板        |后台显示
taskcount              |seller_order_manage.htm    |卖家订单管理模板             |后台显示
taskcount              |sellorder_member.htm       |卖家订单管理模板             |会员中心
taskcount              |settask_member.htm         |任务设置管理模板             |会员中心
